time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,21,6,,
2025-10-29 00:00:00+00:00,2,2,,
2025-10-30 00:00:00+00:00,26,6,,
2025-10-31 00:00:00+00:00,4,3,,
2025-11-01 00:00:00+00:00,10,5,,
2025-11-02 00:00:00+00:00,8,3,,
2025-11-03 00:00:00+00:00,31,7,,
2025-11-04 00:00:00+00:00,24,8,,
2025-11-05 00:00:00+00:00,6,4,,
2025-11-06 00:00:00+00:00,8,5,,
2025-11-07 00:00:00+00:00,9,7,,
2025-11-08 00:00:00+00:00,21,7,,
2025-11-09 00:00:00+00:00,4,3,3.0,3.0
2025-11-10 00:00:00+00:00,3,2,,
