time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-30 00:00:00+00:00,83,19,30.0,1.0
2025-10-01 00:00:00+00:00,46,11,,
2025-10-02 00:00:00+00:00,24,5,,
2025-10-03 00:00:00+00:00,13,5,,
2025-10-04 00:00:00+00:00,7,7,,
2025-10-05 00:00:00+00:00,5,5,,
2025-10-06 00:00:00+00:00,26,11,,
2025-10-07 00:00:00+00:00,4,3,1.0,1.0
2025-10-08 00:00:00+00:00,2,2,,
2025-10-09 00:00:00+00:00,5,4,,
2025-10-10 00:00:00+00:00,7,6,,
2025-10-11 00:00:00+00:00,3,3,,
2025-10-12 00:00:00+00:00,2,2,,
2025-10-13 00:00:00+00:00,4,4,4.0,1.0
2025-10-14 00:00:00+00:00,14,3,,
