time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,7,5,1,1
2026-02-01 00:00:00+00:00,12,7,0,0
2026-02-02 00:00:00+00:00,33,15,0,0
2026-02-03 00:00:00+00:00,19,10,0,0
2026-02-04 00:00:00+00:00,29,10,0,0
2026-02-05 00:00:00+00:00,10,8,1,1
2026-02-06 00:00:00+00:00,13,8,0,0
2026-02-07 00:00:00+00:00,12,7,0,0
2026-02-08 00:00:00+00:00,15,8,0,0
2026-02-09 00:00:00+00:00,22,9,0,0
2026-02-10 00:00:00+00:00,57,16,1,1
2026-02-11 00:00:00+00:00,9,7,0,0
2026-02-12 00:00:00+00:00,43,12,0,0
2026-02-13 00:00:00+00:00,35,13,0,0
