time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-21 00:00:00+00:00,1,1,,
2025-03-22 00:00:00+00:00,21,6,,
2025-03-23 00:00:00+00:00,7,4,,
2025-03-24 00:00:00+00:00,32,5,,
2025-03-25 00:00:00+00:00,13,4,,
2025-03-26 00:00:00+00:00,20,4,,
2025-03-27 00:00:00+00:00,39,7,8.0,1.0
2025-03-28 00:00:00+00:00,10,4,,
2025-03-29 00:00:00+00:00,43,16,11.0,1.0
2025-03-30 00:00:00+00:00,7,4,,
2025-03-31 00:00:00+00:00,3,3,,
2025-04-01 00:00:00+00:00,29,10,,
2025-04-02 00:00:00+00:00,2,2,,
2025-04-03 00:00:00+00:00,11,4,,
2025-04-04 00:00:00+00:00,1,1,,
