url_path,views_total,views_unique
/sarvsav/go-starter-template,66,4
/sarvsav/go-starter-template/pulls,24,1
/sarvsav/go-starter-template/tree/main/.github,13,1
/sarvsav/go-starter-template/pull/27,10,1
/sarvsav/go-starter-template/tree/main/.github/workflows,10,1
/sarvsav/go-starter-template/blob/main/MODULE.bazel,8,1
/sarvsav/go-starter-template/pull/26,7,1
/sarvsav/go-starter-template/blob/main/.github/workflows/goreleaser.yml,4,1
/sarvsav/go-starter-template/pull/27/files,4,1
/sarvsav/go-starter-template/tree/github-repo-stats/sarvsav/go-starter-template,4,1
