url_path,views_total,views_unique
/sarvsav/go-starter-template,13,3
/sarvsav/go-starter-template/pulls,8,1
/sarvsav/go-starter-template/pull/97,2,1
/sarvsav/go-starter-template/pull/98,2,1
/sarvsav/go-starter-template/blob/main/.github/workflows/gitleaks.yml,1,1
/sarvsav/go-starter-template/blob/main/renovate.json,1,1
/sarvsav/go-starter-template/blob/main/scripts/shell/main.bash,1,1
/sarvsav/go-starter-template/pull/96,1,1
/sarvsav/go-starter-template/pull/99,1,1
/sarvsav/go-starter-template/security,1,1
