time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-07 00:00:00+00:00,10,1,,
2024-11-08 00:00:00+00:00,6,1,,
2024-11-09 00:00:00+00:00,38,8,16.0,1.0
2024-11-10 00:00:00+00:00,1,1,2.0,1.0
2024-11-11 00:00:00+00:00,1,1,,
2024-11-12 00:00:00+00:00,11,1,,
2024-11-13 00:00:00+00:00,34,5,16.0,2.0
2024-11-14 00:00:00+00:00,6,1,,
2024-11-15 00:00:00+00:00,3,2,,
2024-11-16 00:00:00+00:00,1,1,,
2024-11-17 00:00:00+00:00,1,1,,
2024-11-18 00:00:00+00:00,1,1,,
2024-11-19 00:00:00+00:00,22,2,,
2024-11-20 00:00:00+00:00,3,2,,
2024-11-21 00:00:00+00:00,1,1,,
