url_path,views_total,views_unique
/sarvsav/go-starter-template,44,4
/sarvsav/go-starter-template/pulls,26,1
/sarvsav/go-starter-template/pull/27,10,1
/sarvsav/go-starter-template/tree/main/.github,9,1
/sarvsav/go-starter-template/pull/26,8,1
/sarvsav/go-starter-template/pull/30,5,1
/sarvsav/go-starter-template/blob/main/.github/workflows/auto-assign-issues.yml,4,1
/sarvsav/go-starter-template/blob/main/.github/workflows/goreleaser.yml,4,1
/sarvsav/go-starter-template/pull/27/files,4,1
/sarvsav/go-starter-template/tree/main/.github/workflows,4,1
