url_path,views_total,views_unique
/sarvsav/go-starter-template,26,5
/sarvsav/go-starter-template/pulls,25,1
/sarvsav/go-starter-template/pull/27,10,1
/sarvsav/go-starter-template/pull/26,8,1
/sarvsav/go-starter-template/pull/30,5,1
/sarvsav/go-starter-template/blob/main/.github/workflows/auto-assign-issues.yml,4,1
/sarvsav/go-starter-template/pull/27/files,4,1
/sarvsav/go-starter-template/security/dependabot/2,3,1
/sarvsav/go-starter-template/tree/main/.github/ISSUE_TEMPLATE,3,1
/sarvsav/go-starter-template/actions/runs/9619572593/job/26535955458,2,1
