time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,4,1,,
2025-03-29 00:00:00+00:00,43,16,11.0,1.0
2025-03-30 00:00:00+00:00,7,4,,
2025-03-31 00:00:00+00:00,3,3,,
2025-04-01 00:00:00+00:00,29,10,,
2025-04-02 00:00:00+00:00,2,2,,
2025-04-03 00:00:00+00:00,11,4,,
2025-04-04 00:00:00+00:00,15,6,1.0,1.0
2025-04-05 00:00:00+00:00,14,5,,
2025-04-06 00:00:00+00:00,2,2,,
2025-04-07 00:00:00+00:00,13,4,,
2025-04-08 00:00:00+00:00,14,5,,
2025-04-09 00:00:00+00:00,20,4,,
2025-04-10 00:00:00+00:00,2,2,,
2025-04-11 00:00:00+00:00,1,1,,
