time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,47,13,0,0
2026-03-14 00:00:00+00:00,13,7,0,0
2026-03-15 00:00:00+00:00,5,3,1,1
2026-03-16 00:00:00+00:00,38,13,1,1
2026-03-17 00:00:00+00:00,15,6,0,0
2026-03-18 00:00:00+00:00,28,10,0,0
2026-03-19 00:00:00+00:00,57,17,0,0
2026-03-20 00:00:00+00:00,9,5,1,1
2026-03-21 00:00:00+00:00,12,7,0,0
2026-03-22 00:00:00+00:00,4,3,0,0
2026-03-23 00:00:00+00:00,12,7,0,0
2026-03-24 00:00:00+00:00,9,4,0,0
2026-03-25 00:00:00+00:00,26,9,0,0
2026-03-26 00:00:00+00:00,17,7,0,0
