time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,19,5,0,0
2026-04-07 00:00:00+00:00,50,15,0,0
2026-04-08 00:00:00+00:00,51,16,0,0
2026-04-09 00:00:00+00:00,26,7,0,0
2026-04-10 00:00:00+00:00,14,8,0,0
2026-04-11 00:00:00+00:00,26,10,0,0
2026-04-12 00:00:00+00:00,34,13,0,0
2026-04-13 00:00:00+00:00,32,11,0,0
2026-04-14 00:00:00+00:00,107,29,0,0
2026-04-15 00:00:00+00:00,43,11,0,0
2026-04-16 00:00:00+00:00,18,9,1,1
2026-04-17 00:00:00+00:00,37,10,0,0
2026-04-18 00:00:00+00:00,29,12,0,0
2026-04-19 00:00:00+00:00,38,18,0,0
