time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,16,2,,
2024-06-11 00:00:00+00:00,1,1,2.0,1.0
2024-06-12 00:00:00+00:00,15,5,21.0,1.0
2024-06-13 00:00:00+00:00,148,20,197.0,1.0
2024-06-14 00:00:00+00:00,24,7,14.0,1.0
2024-06-15 00:00:00+00:00,1,1,7.0,1.0
2024-06-16 00:00:00+00:00,25,5,74.0,1.0
2024-06-17 00:00:00+00:00,10,2,5.0,3.0
2024-06-18 00:00:00+00:00,7,4,4.0,1.0
2024-06-19 00:00:00+00:00,32,7,57.0,1.0
2024-06-20 00:00:00+00:00,13,4,3.0,1.0
2024-06-21 00:00:00+00:00,37,7,33.0,1.0
2024-06-22 00:00:00+00:00,4,3,4.0,2.0
2024-06-23 00:00:00+00:00,2,2,1.0,1.0
2024-06-24 00:00:00+00:00,1,1,,
