time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,25,5,,
2025-04-15 00:00:00+00:00,74,11,26.0,2.0
2025-04-16 00:00:00+00:00,6,3,,
2025-04-17 00:00:00+00:00,16,4,1.0,1.0
2025-04-18 00:00:00+00:00,3,3,,
2025-04-19 00:00:00+00:00,25,11,6.0,1.0
2025-04-20 00:00:00+00:00,3,3,,
2025-04-21 00:00:00+00:00,21,5,,
2025-04-22 00:00:00+00:00,16,6,,
2025-04-23 00:00:00+00:00,6,3,,
2025-04-24 00:00:00+00:00,7,4,1.0,1.0
2025-04-25 00:00:00+00:00,11,3,2.0,2.0
2025-04-26 00:00:00+00:00,9,5,,
2025-04-27 00:00:00+00:00,1,1,,
