time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,3,2,,
2024-06-05 00:00:00+00:00,26,5,18.0,1.0
2024-06-06 00:00:00+00:00,1,1,,
2024-06-07 00:00:00+00:00,1,1,,
2024-06-08 00:00:00+00:00,1,1,,
2024-06-09 00:00:00+00:00,2,2,,
2024-06-10 00:00:00+00:00,17,2,,
2024-06-11 00:00:00+00:00,1,1,2.0,1.0
2024-06-12 00:00:00+00:00,15,5,21.0,1.0
2024-06-13 00:00:00+00:00,148,20,197.0,1.0
2024-06-14 00:00:00+00:00,24,7,14.0,1.0
2024-06-15 00:00:00+00:00,1,1,7.0,1.0
2024-06-16 00:00:00+00:00,25,5,74.0,1.0
2024-06-17 00:00:00+00:00,10,2,5.0,3.0
2024-06-18 00:00:00+00:00,1,1,3.0,1.0
