url_path,views_total,views_unique
/sarvsav/go-starter-template/issues,2,2
/sarvsav/go-starter-template/pulls,2,2
/sarvsav/go-starter-template/actions/runs/14234115392,1,1
/sarvsav/go-starter-template/actions/runs/14313796453/workflow,1,1
/sarvsav/go-starter-template/actions/runs/14713011047/workflow,1,1
/sarvsav/go-starter-template/actions/runs/15056429263,1,1
/sarvsav/go-starter-template/actions/runs/16861459355/workflow,1,1
/sarvsav/go-starter-template/actions/runs/16887568248/workflow,1,1
/sarvsav/go-starter-template/actions/runs/16941929780/workflow,1,1
/sarvsav/go-starter-template/blob/078dcb453ad2b49a668b2f66d5abce691532882a/.github/workflows/govulncheck.yml,1,1
