time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,45,14,0,0
2026-05-06 00:00:00+00:00,32,12,0,0
2026-05-07 00:00:00+00:00,57,15,0,0
2026-05-08 00:00:00+00:00,36,14,0,0
2026-05-09 00:00:00+00:00,28,11,7,7
2026-05-10 00:00:00+00:00,30,12,4,4
2026-05-11 00:00:00+00:00,26,11,2,2
2026-05-12 00:00:00+00:00,57,15,2,2
2026-05-13 00:00:00+00:00,35,11,3,3
2026-05-14 00:00:00+00:00,4,3,1,1
2026-05-15 00:00:00+00:00,11,5,0,0
2026-05-16 00:00:00+00:00,26,8,4,4
2026-05-17 00:00:00+00:00,11,6,3,3
2026-05-18 00:00:00+00:00,30,9,4,4
