time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-12 00:00:00+00:00,,,1.0,1.0
2024-06-13 00:00:00+00:00,148.0,20.0,197.0,1.0
2024-06-14 00:00:00+00:00,24.0,7.0,14.0,1.0
2024-06-15 00:00:00+00:00,1.0,1.0,7.0,1.0
2024-06-16 00:00:00+00:00,25.0,5.0,74.0,1.0
2024-06-17 00:00:00+00:00,10.0,2.0,5.0,3.0
2024-06-18 00:00:00+00:00,7.0,4.0,4.0,1.0
2024-06-19 00:00:00+00:00,32.0,7.0,57.0,1.0
2024-06-20 00:00:00+00:00,13.0,4.0,3.0,1.0
2024-06-21 00:00:00+00:00,37.0,7.0,33.0,1.0
2024-06-22 00:00:00+00:00,4.0,3.0,4.0,2.0
2024-06-23 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-06-24 00:00:00+00:00,10.0,2.0,28.0,1.0
2024-06-25 00:00:00+00:00,11.0,1.0,,
2024-06-26 00:00:00+00:00,1.0,1.0,,
