time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,40,14,0,0
2026-04-30 00:00:00+00:00,64,19,0,0
2026-05-01 00:00:00+00:00,50,16,0,0
2026-05-02 00:00:00+00:00,47,14,0,0
2026-05-03 00:00:00+00:00,30,13,0,0
2026-05-04 00:00:00+00:00,38,11,0,0
2026-05-05 00:00:00+00:00,45,14,0,0
2026-05-06 00:00:00+00:00,32,12,0,0
2026-05-07 00:00:00+00:00,57,15,0,0
2026-05-08 00:00:00+00:00,36,14,0,0
2026-05-09 00:00:00+00:00,28,11,7,7
2026-05-10 00:00:00+00:00,30,12,4,4
2026-05-11 00:00:00+00:00,26,11,2,2
2026-05-12 00:00:00+00:00,57,15,2,2
